File Name	Model Name	Address	Unk_Flags_0X00	Unk_0x04	Unk_0x08	Unk_0x0C	Unk_0x10	Unk_Count	Unk_0x12	Vertexrenderflags	Unk_0x14	Tex0Index	Tex1Index	Tex2Index	Vertexdescriptorflags	Transformmatrixspecidicindices	Matdisplaylistsize	Tlmatdisplaylistsize	Uvwcoordinates	Unk_0x3C	Unk_0x40	Unk_0x44	Unk_0x48	Unk_0x4C	Unk_0x50	Unk_0x54	Unk_0x58	FifoPadding 0	FifoPadding 1	FifoPadding 2	FifoPadding 3	
	bg_met,lz.gma	000630C0	2	1061109759	255	3435973887	17	255	1	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	2	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	121536	3328	(0.0, -733.9, 41.6)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	00089F40	2	1061109759	255	3435973887	17	255	1	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	7	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	111328	3264	(-11.2, -79.4, 11.2)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	000C6140	5	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	0	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	160	0	(0.0, 0.0, 0.0)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	000C6340	1	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	65280	3	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	416	0	(0.0, 0.1, 0.0)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	000C6C00	103	4294902015	2139062271	0	0	255	1	RENDER_TRANSLUCID_MATERIALS	0	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	0	1120	(0.0, 0.0, 0.0)	0	20	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	000C71A0	111	255	2139062271	0	0	255	2	RENDER_TRANSLUCID_MATERIALS	0	0	1	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	0	736	(0.0, 5.1, -6.3)	0	20	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	000C7940	0	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	576	1216	(-0.7, -0.2, 0.4)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	000C8120	2	1061109759	255	3435973887	17	255	1	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	26688	1792	(0.0, -1344.5, 0.0)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	000D1AA0	4	4294967295	4294967295	0	0	255	1	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	928	192	(0.0, 0.0, 0.5)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	000D22A0	0	4294967295	4294967295	0	0	255	1	RENDER_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	800	0	(0.0, 0.1, 3.3)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	000D3A00	0	3857049087	1280068863	0	0	255	2	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	7	8	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	4128	4608	(0.0, 17.4, 78.8)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	000E48A0	101	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	160	0	(0.0, 0.0, 0.0)	0	18	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	000E4A00	101	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	160	0	(0.0, 0.0, 0.0)	0	20	0	0	0	0	0	0	0	0	0	0	
