File Name	GCMF File Name	Address	Attributes	Origin	Radius	Texturecount	Materialcount	Translucidmaterialcount	Transformmatrixcount	Zero_0x1F	Indicesrelptr	Zero_0x24	Transformmatrixdefaultindices	Texture	TransformMatrix	Material	
bbull_02emb.gma	bbull_02emb.gma	00000040	_16Bit	(0.0, 1.0, 0.0)	2.884224	1	1	0	0	0	96	0	X	X	X	X	
bbull_03.gma	bbull_03.gma	00000040	_16Bit	(0.0, 1.0, 0.0)	2.848729	24	10	4	0	0	832	0	X	X	X	X	
bbull_03.gma	bbull_03.gma	00000040	_16Bit	(0.0, 1.0, 0.0)	2.848729	24	10	4	0	0	832	0	X	X	X	X	
bbull_03emb.gma	bbull_03emb.gma	00000040	_16Bit	(0.0, 1.0, 0.0)	2.884224	1	1	0	0	0	96	0	X	X	X	X	
bbull_04.gma	bbull_04.gma	00000040	_16Bit	(0.0, 1.0, 0.0)	2.882525	6	6	0	0	0	256	0	X	X	X	X	
bbull_04.gma	bbull_04.gma	00000040	_16Bit	(0.0, 1.0, 0.0)	2.882525	6	6	0	0	0	256	0	X	X	X	X	
bbull_emb.gma	bbull_emb.gma	00000040	_16Bit	(0.0, 1.0, 0.0)	2.870579	1	1	0	0	0	96	0	X	X	X	X	
beastman.gma	beastman.gma	000000A0	SkinModel	(0.0, -0.2, 0.0)	0.5149394	14	14	0	17	0	1344	0	X	X	X	X	
	beastman.gma	0001FC20	SkinModel	(0.0, 0.0, 0.0)	0.1211515	14	12	0	31	0	2016	0	X	X	X	X	
	beastman.gma	00033320	SkinModel	(0.1, 0.0, 0.0)	0.08209459	1	1	0	16	0	864	0	X	X	X	X	
	beastman.gma	0003FA20	SkinModel	(0.1, 0.0, 0.0)	0.08209459	1	1	0	16	0	864	0	X	X	X	X	
	beastman.gma	0004C0E0	SkinModel	(0.0, 0.0, 0.0)	0.1322826	3	1	0	1	0	224	0	X	X	X	X	
beastman_100.gma	beastman_100.gma	00000040	_16Bit, StitchingModel	(0.0, 0.1, -0.1)	0.3211039	8	8	0	7	0	672	0	X	X	X	X	
beastman_100.gma	beastman_100.gma	00000040	_16Bit, StitchingModel	(0.0, 0.1, -0.1)	0.3211039	8	8	0	7	0	672	0	X	X	X	X	
beastman_100.gma	beastman_100.gma	00000040	_16Bit, StitchingModel	(0.0, 0.1, -0.1)	0.3211039	8	8	0	7	0	672	0	X	X	X	X	
beastman_500.gma	beastman_500.gma	00000040	_16Bit, StitchingModel	(0.0, -0.1, 0.0)	0.5387396	25	26	0	15	0	1600	0	X	X	X	X	
beastman_500.gma	beastman_500.gma	00000040	_16Bit, StitchingModel	(0.0, -0.1, 0.0)	0.5387396	25	26	0	15	0	1600	0	X	X	X	X	
beastman_1000.gma	beastman_1000.gma	00000040	_16Bit, StitchingModel	(0.0, -0.1, 0.0)	0.5599585	20	21	0	15	0	1440	0	X	X	X	X	
beastman_3000.gma	beastman_3000.gma	000000A0	_16Bit, StitchingModel	(0.0, -0.2, 0.0)	0.5149394	14	14	0	17	0	1344	0	X	X	X	X	
	beastman_3000.gma	0000B4A0	SkinModel	(0.0, 0.0, 0.0)	0.1211515	14	12	0	31	0	2016	0	X	X	X	X	
	beastman_3000.gma	0001EBA0	SkinModel	(0.1, 0.0, 0.0)	0.08209459	1	1	0	16	0	864	0	X	X	X	X	
	beastman_3000.gma	0002B2A0	SkinModel	(0.1, 0.0, 0.0)	0.08209459	1	1	0	16	0	864	0	X	X	X	X	
	beastman_3000.gma	00037960	_16Bit, StitchingModel	(0.0, 0.0, 0.0)	0.1322826	3	1	0	1	0	224	0	X	X	X	X	
beastman_face.gma	beastman_face.gma	00000020	_16Bit	(0.0, 0.0, 0.0)	0.1125009	1	1	0	0	0	96	0	X	X	X	X	
beastman_face.gma	beastman_face.gma	00000020	_16Bit	(0.0, 0.0, 0.0)	0.1125009	1	1	0	0	0	96	0	X	X	X	X	
bfalcon.gma	bfalcon.gma	00000060	_16Bit	(0.0, 0.6, 0.0)	2.509858	26	16	4	0	0	896	0	X	X	X	X	
	bfalcon.gma	0000E260	_16Bit	(-0.3, 0.4, 0.6)	1.747964	0	0	0	0	0	64	0	X	X	X	X	
	bfalcon.gma	0000E2A0	_16Bit	(0.0, 0.0, 0.1)	0.1252556	1	1	0	0	0	96	0	X	X	X	X	
